Frame,FrameGPUTime,TerrainGPUTime,LaunchpadsGPUTime,SpaceshipGPUTime,ViewAGPUTime,ViewBGPUTime,CPURenderTime,CPUFrameTime,KeyPressC,KeyPressShiftC,KeyPressV,KeyPressF,CameraMovement,SplitScreenEnabled,Camera1Mode,Camera2Mode
4,2.213,2.160,0.024,0.001,2.188,0.001,1.334,1.535,0,0,0,0,0,0,0,1
5,2.586,2.537,0.024,0.001,2.567,0.001,3.178,3.358,0,0,0,0,0,0,0,1
6,4.313,2.513,0.026,0.001,2.543,0.001,3.904,4.040,0,0,0,0,0,0,0,1
7,12.269,2.146,0.025,0.001,2.176,0.001,11.527,11.717,0,0,0,0,0,0,0,1
8,16.987,2.152,0.026,0.001,2.181,0.001,16.603,16.826,0,0,0,0,0,0,0,1
9,16.570,2.151,0.026,0.001,2.182,0.000,16.133,16.314,0,0,0,0,0,0,0,1
10,16.798,2.148,0.025,0.001,2.178,0.001,16.610,16.787,0,0,0,0,0,0,0,1
11,16.800,2.154,0.025,0.001,2.184,0.001,16.022,16.180,0,0,0,0,0,0,0,1
12,33.107,2.146,0.025,0.001,2.176,0.001,32.336,32.495,0,0,0,0,0,0,0,1
13,16.813,2.162,0.025,0.001,2.190,0.001,16.049,16.218,0,0,0,0,0,0,0,1
14,17.802,2.168,0.026,0.000,2.198,0.000,16.455,16.639,0,0,0,0,0,0,0,1
15,14.999,2.179,0.025,0.000,2.208,0.001,14.518,14.681,0,0,0,0,0,0,0,1
16,16.663,2.150,0.025,0.001,2.180,0.001,16.169,16.343,0,0,0,0,0,0,0,1
17,17.120,2.150,0.025,0.001,2.179,0.001,16.135,16.309,0,0,0,0,0,0,0,1
18,16.751,2.147,0.025,0.001,2.177,0.001,15.823,15.985,0,0,0,0,0,0,0,1
19,17.921,2.149,0.025,0.001,2.179,0.001,16.648,17.067,0,0,0,0,0,0,0,1
20,14.645,2.148,0.025,0.001,2.177,0.001,14.454,14.635,0,0,0,0,0,0,0,1
21,16.848,2.147,0.026,0.001,2.178,0.000,16.386,16.551,0,0,0,0,0,0,0,1
22,16.629,2.147,0.026,0.001,2.177,0.001,16.389,16.537,0,0,0,0,0,0,0,1
23,17.016,2.149,0.024,0.000,2.177,0.001,16.295,16.433,0,0,0,0,0,0,0,1
24,17.578,2.148,0.026,0.001,2.179,0.001,15.916,16.083,0,0,0,0,0,0,0,1
25,15.200,2.144,0.026,0.001,2.173,0.001,16.364,16.516,0,0,0,0,0,0,0,1
26,16.593,2.148,0.026,0.001,2.177,0.001,16.272,16.424,0,0,0,0,0,0,0,1
27,16.851,2.145,0.027,0.001,2.175,0.001,16.556,16.700,0,0,0,0,0,0,0,1
28,16.602,2.146,0.025,0.001,2.176,0.001,16.240,16.374,0,0,0,0,0,0,0,1
29,16.520,2.150,0.025,0.001,2.178,0.001,16.287,16.421,0,0,0,0,0,0,0,1
30,16.656,2.148,0.026,0.001,2.178,0.001,16.395,16.516,0,0,0,0,0,0,0,1
31,16.745,2.146,0.025,0.001,2.176,0.001,16.353,16.491,0,0,0,0,0,0,0,1
32,16.790,2.150,0.025,0.001,2.180,0.001,16.369,16.504,0,0,0,0,0,0,0,1
33,16.552,2.149,0.025,0.001,2.179,0.001,16.282,16.554,0,0,0,0,0,0,0,1
34,16.987,2.149,0.025,0.001,2.179,0.001,16.614,16.741,0,0,0,0,0,0,0,1
35,16.435,2.150,0.026,0.001,2.180,0.000,16.169,16.336,0,0,0,0,0,0,0,1
36,16.562,2.148,0.026,0.000,2.178,0.001,16.279,16.431,0,0,0,0,0,0,0,1
37,16.948,2.148,0.026,0.001,2.178,0.001,16.432,16.569,0,0,0,0,0,0,0,1
38,16.572,2.148,0.025,0.001,2.178,0.001,16.234,16.392,0,0,0,0,0,0,0,1
39,16.663,2.152,0.025,0.000,2.181,0.001,16.347,16.512,0,0,0,0,0,0,0,1
40,16.813,2.149,0.027,0.001,2.180,0.001,16.294,16.455,0,0,0,0,0,0,0,1
41,16.510,2.148,0.026,0.001,2.179,0.000,16.122,16.322,0,0,0,0,0,0,0,1
42,16.942,2.148,0.026,0.001,2.179,0.001,16.522,16.677,0,0,0,0,0,0,0,1
43,16.541,2.150,0.025,0.000,2.179,0.001,16.069,16.257,0,0,0,0,0,0,0,1
44,16.636,2.149,0.025,0.001,2.178,0.001,16.254,16.447,0,0,0,0,0,0,0,1
45,16.695,2.150,0.025,0.001,2.179,0.001,16.244,16.430,0,0,0,0,0,0,0,1
46,17.129,2.148,0.026,0.001,2.178,0.001,16.290,16.484,0,0,0,0,0,0,0,1
47,17.796,2.153,0.025,0.001,2.182,0.001,15.831,16.087,0,0,0,0,0,0,0,1
48,15.197,2.147,0.025,0.001,2.176,0.001,15.829,16.159,0,0,0,0,0,0,0,1
49,16.783,2.149,0.025,0.001,2.178,0.001,15.993,16.189,0,0,0,0,0,0,0,1
50,16.637,2.149,0.026,0.001,2.178,0.001,15.980,16.201,0,0,0,0,0,0,0,1
51,16.825,2.149,0.025,0.001,2.179,0.001,16.085,16.267,0,0,0,0,0,0,0,1
52,18.716,2.150,0.025,0.001,2.179,0.001,17.046,17.244,0,0,0,0,0,0,0,1
53,15.560,2.147,0.026,0.001,2.178,0.001,13.731,13.920,0,0,0,0,0,0,0,1
54,15.576,2.152,0.025,0.001,2.180,0.001,14.869,15.086,0,0,0,0,0,0,0,1
55,17.378,2.149,0.025,0.001,2.178,0.001,16.089,16.309,0,0,0,0,0,0,0,1
56,16.033,2.151,0.024,0.001,2.180,0.001,15.297,15.504,0,0,0,0,0,0,0,1
57,16.847,2.149,0.026,0.001,2.178,0.001,15.892,16.094,0,0,0,0,0,0,0,1
58,16.753,2.149,0.026,0.000,2.179,0.001,15.871,16.073,0,0,0,0,0,0,0,1
59,16.301,2.150,0.026,0.001,2.179,0.001,15.649,15.858,0,0,0,0,0,0,0,1
60,17.399,2.149,0.025,0.001,2.179,0.001,16.088,16.272,0,0,0,0,0,0,0,1
61,15.720,2.152,0.024,0.001,2.181,0.001,15.239,15.442,0,0,0,0,0,0,0,1
62,16.766,2.148,0.026,0.001,2.179,0.001,16.385,16.575,0,0,0,0,0,0,0,1
63,16.625,2.150,0.025,0.001,2.179,0.001,16.045,16.286,0,0,0,0,0,0,0,1
64,16.437,2.149,0.025,0.001,2.179,0.001,16.144,16.311,0,0,0,0,0,0,0,1
65,17.736,2.151,0.024,0.001,2.179,0.001,16.350,16.516,0,0,0,0,0,0,0,1
66,16.002,2.149,0.026,0.000,2.179,0.001,15.191,15.384,0,0,0,0,0,0,0,1
67,16.643,2.147,0.025,0.001,2.177,0.001,15.892,16.093,0,0,0,0,0,0,0,1
68,16.657,2.150,0.025,0.001,2.179,0.001,16.148,16.358,0,0,0,0,0,0,0,1
69,16.748,2.150,0.025,0.001,2.180,0.001,16.122,16.333,0,0,0,0,0,0,0,1
70,18.006,2.148,0.026,0.001,2.179,0.000,16.562,16.777,0,0,0,0,0,0,0,1
71,15.161,2.148,0.025,0.000,2.177,0.001,15.358,15.551,0,0,0,0,0,0,0,1
72,16.442,2.149,0.025,0.000,2.178,0.001,15.799,15.977,0,0,0,0,0,0,0,1
73,16.956,2.149,0.025,0.001,2.179,0.001,16.125,16.298,0,0,0,0,0,0,0,1
74,16.368,2.148,0.025,0.001,2.178,0.001,16.025,16.200,0,0,0,0,0,0,0,1
75,16.887,2.148,0.026,0.001,2.178,0.001,16.190,16.371,0,0,0,0,0,0,0,1
76,16.238,2.150,0.025,0.001,2.179,0.001,16.194,16.364,0,0,0,0,0,0,0,1
77,16.595,2.149,0.025,0.001,2.179,0.001,16.202,16.373,0,0,0,0,0,0,0,1
78,17.193,2.148,0.026,0.001,2.178,0.001,16.493,16.710,0,0,0,0,0,0,0,1
79,16.128,2.148,0.026,0.001,2.179,0.001,15.812,16.004,0,0,0,0,0,0,0,1
